id,evaluation
0,negatif
1,negatif
2,negatif
3,positif
4,positif
5,negatif
6,negatif
7,negatif
8,negatif
9,negatif
10,negatif
11,negatif
12,positif
13,negatif
14,positif
15,negatif
16,negatif
17,negatif
18,positif
19,negatif
20,negatif
21,negatif
22,negatif
23,positif
24,positif
25,positif
26,negatif
27,negatif
28,negatif
29,negatif
30,negatif
31,positif
32,positif
33,positif
34,positif
35,positif
36,negatif
37,positif
38,positif
39,positif
40,positif
41,positif
42,positif
43,positif
44,negatif
45,positif
46,negatif
47,positif
48,positif
49,positif
50,negatif
51,positif
52,positif
53,positif
54,positif
55,positif
56,negatif
57,negatif
58,negatif
59,negatif
60,positif
61,positif
62,positif
63,negatif
64,negatif
65,positif
66,positif
67,negatif
68,positif
69,positif
70,positif
71,negatif
72,negatif
73,positif
74,negatif
75,negatif
76,negatif
77,positif
78,positif
79,negatif
80,negatif
81,negatif
82,negatif
83,positif
84,negatif
85,positif
86,positif
87,negatif
88,positif
89,negatif
90,negatif
91,positif
92,positif
93,positif
94,positif
95,negatif
96,negatif
97,positif
98,negatif
99,negatif
100,positif
101,positif
102,negatif
103,negatif
104,negatif
105,negatif
106,positif
107,positif
108,positif
109,negatif
110,negatif
111,positif
112,positif
113,positif
114,negatif
115,negatif
116,negatif
117,positif
118,negatif
119,positif
120,negatif
121,positif
122,negatif
123,negatif
124,positif
125,negatif
126,negatif
127,positif
128,negatif
129,positif
130,positif
131,negatif
132,positif
133,positif
134,negatif
135,negatif
136,positif
137,negatif
138,negatif
139,positif
140,negatif
141,positif
142,negatif
143,positif
144,negatif
145,positif
146,positif
147,negatif
148,positif
149,positif
150,positif
151,positif
152,negatif
153,negatif
154,negatif
155,positif
156,positif
157,negatif
158,positif
159,positif
160,positif
161,positif
162,negatif
163,positif
164,positif
165,negatif
166,positif
167,positif
168,positif
169,positif
170,positif
171,positif
172,positif
173,positif
174,negatif
175,negatif
176,negatif
177,negatif
178,positif
179,positif
180,negatif
181,positif
182,negatif
183,positif
184,positif
185,negatif
186,negatif
187,negatif
188,positif
189,positif
190,positif
191,negatif
192,negatif
193,negatif
194,positif
195,negatif
196,positif
197,negatif
198,negatif
199,negatif
200,positif
201,negatif
202,negatif
203,positif
204,negatif
205,positif
206,negatif
207,positif
208,positif
209,negatif
210,positif
211,negatif
212,positif
213,negatif
214,negatif
215,positif
216,negatif
217,negatif
218,negatif
219,negatif
220,negatif
221,negatif
222,negatif
223,positif
224,negatif
225,positif
226,positif
227,negatif
228,positif
229,positif
230,positif
231,positif
232,positif
233,positif
234,negatif
235,positif
236,positif
237,negatif
238,negatif
239,positif
240,positif
241,negatif
242,positif
243,negatif
244,negatif
245,negatif
246,positif
247,positif
248,negatif
249,positif
250,positif
251,negatif
252,negatif
253,negatif
254,positif
255,positif
256,positif
257,negatif
258,negatif
259,positif
260,positif
261,positif
262,positif
263,positif
264,positif
265,positif
266,positif
267,negatif
268,positif
269,positif
270,negatif
271,positif
272,negatif
273,negatif
274,negatif
275,positif
276,positif
277,negatif
278,positif
279,positif
280,positif
281,negatif
282,positif
283,positif
284,negatif
285,positif
286,positif
287,positif
288,positif
289,negatif
290,negatif
291,negatif
292,negatif
293,positif
294,negatif
295,positif
296,negatif
297,positif
298,positif
299,negatif
300,negatif
301,positif
302,positif
303,negatif
304,positif
305,positif
306,negatif
307,positif
308,positif
309,negatif
310,positif
311,negatif
312,positif
313,positif
314,negatif
315,negatif
316,negatif
317,negatif
318,negatif
319,positif
320,positif
321,positif
322,negatif
323,positif
324,negatif
325,negatif
326,negatif
327,negatif
328,negatif
329,positif
330,negatif
331,negatif
332,negatif
333,negatif
334,negatif
335,positif
336,positif
337,negatif
338,negatif
339,negatif
340,negatif
341,negatif
342,negatif
343,positif
344,negatif
345,positif
346,positif
347,positif
348,negatif
349,positif
350,negatif
351,positif
352,negatif
353,positif
354,negatif
355,negatif
356,negatif
357,positif
358,positif
359,negatif
360,negatif
361,positif
362,positif
363,positif
364,negatif
365,positif
366,positif
367,negatif
368,positif
369,negatif
370,negatif
371,positif
372,positif
373,positif
374,positif
375,positif
376,negatif
377,negatif
378,positif
379,positif
380,negatif
381,negatif
382,negatif
383,positif
384,positif
385,negatif
386,negatif
387,positif
388,positif
389,negatif
390,negatif
391,negatif
392,negatif
393,positif
394,positif
395,negatif
396,negatif
397,negatif
398,positif
399,negatif
400,negatif
401,positif
402,negatif
403,positif
404,negatif
405,negatif
406,negatif
407,positif
408,negatif
409,negatif
410,negatif
411,positif
412,positif
413,negatif
414,positif
415,positif
416,positif
417,positif
418,positif
419,positif
420,positif
421,positif
422,negatif
423,negatif
424,negatif
425,negatif
426,negatif
427,negatif
428,negatif
429,negatif
430,negatif
431,negatif
432,negatif
433,positif
434,negatif
435,negatif
436,negatif
437,negatif
438,positif
439,negatif
440,positif
441,negatif
442,positif
443,negatif
444,positif
445,positif
446,negatif
447,negatif
448,positif
449,positif
450,positif
451,negatif
452,positif
453,negatif
454,negatif
455,positif
456,positif
457,negatif
458,negatif
459,positif
460,negatif
461,negatif
462,positif
463,negatif
464,positif
465,negatif
466,negatif
467,positif
468,negatif
469,negatif
470,negatif
471,negatif
472,negatif
473,positif
474,positif
475,negatif
476,negatif
477,positif
478,negatif
479,negatif
480,negatif
481,negatif
482,positif
483,negatif
484,positif
485,negatif
486,negatif
487,positif
488,positif
489,positif
490,negatif
491,negatif
492,positif
493,negatif
494,positif
495,negatif
496,positif
497,positif
498,positif
499,positif
500,negatif
501,negatif
502,negatif
503,negatif
504,positif
505,negatif
506,positif
507,positif
508,negatif
509,negatif
510,negatif
511,negatif
512,negatif
513,positif
514,positif
515,positif
516,positif
517,negatif
518,negatif
519,positif
520,negatif
521,positif
522,positif
523,positif
524,positif
525,negatif
526,negatif
527,positif
528,positif
529,positif
530,negatif
531,negatif
532,positif
533,positif
534,negatif
535,negatif
536,negatif
537,positif
538,positif
539,negatif
540,positif
541,negatif
542,positif
543,positif
544,negatif
545,negatif
546,negatif
547,negatif
548,positif
549,positif
550,positif
551,negatif
552,negatif
553,positif
554,negatif
555,positif
556,positif
557,negatif
558,negatif
559,negatif
560,negatif
561,negatif
562,negatif
563,positif
564,positif
565,negatif
566,positif
567,positif
568,negatif
569,negatif
570,positif
571,positif
572,negatif
573,positif
574,negatif
575,positif
576,positif
577,negatif
578,negatif
579,positif
580,positif
581,negatif
582,negatif
583,positif
584,positif
585,positif
586,negatif
587,positif
588,positif
589,positif
590,positif
591,negatif
592,positif
593,positif
594,negatif
595,negatif
596,negatif
597,positif
598,positif
599,positif
600,positif
601,negatif
602,positif
603,negatif
604,positif
605,negatif
606,negatif
607,negatif
608,negatif
609,negatif
610,positif
611,negatif
612,positif
613,negatif
614,negatif
615,positif
616,positif
617,positif
618,positif
619,positif
620,positif
621,negatif
622,positif
623,negatif
624,negatif
625,positif
626,positif
627,negatif
628,positif
629,negatif
630,positif
631,positif
632,positif
633,negatif
634,positif
635,negatif
636,positif
637,negatif
638,negatif
639,negatif
640,negatif
641,negatif
642,positif
643,positif
644,positif
645,negatif
646,positif
647,positif
648,negatif
649,positif
650,negatif
651,negatif
652,positif
653,negatif
654,positif
655,negatif
656,positif
657,negatif
658,positif
659,positif
660,negatif
661,negatif
662,negatif
663,negatif
664,negatif
665,positif
666,negatif
667,positif
668,negatif
669,positif
670,negatif
671,positif
672,negatif
673,negatif
674,positif
675,negatif
676,positif
677,positif
678,positif
679,negatif
680,negatif
681,negatif
682,positif
683,negatif
684,positif
685,negatif
686,positif
687,positif
688,positif
689,positif
690,positif
691,negatif
692,negatif
693,positif
694,negatif
695,negatif
696,negatif
697,positif
698,positif
699,positif
700,positif
701,negatif
702,negatif
703,negatif
704,negatif
705,positif
706,negatif
707,negatif
708,positif
709,negatif
710,negatif
711,negatif
712,negatif
713,negatif
714,negatif
715,positif
716,positif
717,negatif
718,positif
719,positif
720,negatif
721,positif
722,positif
723,positif
724,positif
725,positif
726,negatif
727,positif
728,negatif
729,negatif
730,positif
731,positif
732,negatif
733,negatif
734,negatif
735,negatif
736,positif
737,negatif
738,positif
739,positif
740,negatif
741,positif
742,negatif
743,positif
744,positif
745,positif
746,positif
747,positif
748,positif
749,negatif
750,negatif
751,positif
752,negatif
753,negatif
754,positif
755,negatif
756,negatif
757,negatif
758,negatif
759,negatif
760,negatif
761,negatif
762,positif
763,positif
764,positif
765,positif
766,positif
767,negatif
768,positif
769,positif
770,positif
771,negatif
772,positif
773,positif
774,negatif
775,negatif
776,negatif
777,positif
778,positif
779,positif
780,negatif
781,positif
782,negatif
783,negatif
784,negatif
785,positif
786,negatif
787,positif
788,positif
789,negatif
790,negatif
791,negatif
792,negatif
793,positif
794,positif
795,positif
796,positif
797,negatif
798,positif
799,negatif
800,negatif
801,negatif
802,positif
803,positif
804,negatif
805,positif
806,positif
807,negatif
808,positif
809,negatif
810,negatif
811,positif
812,negatif
813,positif
814,negatif
815,positif
816,negatif
817,negatif
818,positif
819,negatif
820,positif
821,negatif
822,negatif
823,negatif
824,negatif
825,negatif
826,negatif
827,positif
828,positif
829,negatif
830,positif
831,negatif
832,positif
833,negatif
834,positif
835,positif
836,positif
837,positif
838,negatif
839,positif
840,negatif
841,negatif
842,positif
843,negatif
844,negatif
845,negatif
846,negatif
847,positif
848,negatif
849,negatif
850,negatif
851,negatif
852,negatif
853,positif
854,positif
855,positif
856,positif
857,negatif
858,positif
859,negatif
860,positif
861,negatif
862,positif
863,negatif
864,positif
865,positif
866,negatif
867,positif
868,negatif
869,negatif
870,negatif
871,positif
872,negatif
873,positif
874,negatif
875,negatif
876,positif
877,negatif
878,negatif
879,negatif
880,negatif
881,positif
882,negatif
883,positif
884,negatif
885,positif
886,negatif
887,positif
888,negatif
889,positif
890,negatif
891,positif
892,negatif
893,negatif
894,positif
895,positif
896,positif
897,negatif
898,positif
899,negatif
900,positif
901,negatif
902,positif
903,negatif
904,negatif
905,positif
906,positif
907,positif
908,negatif
909,positif
910,positif
911,positif
912,positif
913,negatif
914,negatif
915,positif
916,negatif
917,positif
918,negatif
919,negatif
920,negatif
921,positif
922,positif
923,positif
924,negatif
925,positif
926,negatif
927,negatif
928,positif
929,negatif
930,positif
931,negatif
932,positif
933,negatif
934,positif
935,negatif
936,negatif
937,positif
938,positif
939,negatif
940,negatif
941,positif
942,positif
943,positif
944,negatif
945,positif
946,positif
947,negatif
948,negatif
949,positif
950,negatif
951,negatif
952,negatif
953,negatif
954,negatif
955,negatif
956,positif
957,positif
958,negatif
959,positif
960,negatif
961,positif
962,negatif
963,positif
964,positif
965,positif
966,positif
967,positif
968,negatif
969,positif
970,positif
971,negatif
972,positif
973,negatif
974,negatif
975,negatif
976,positif
977,positif
978,negatif
979,negatif
980,negatif
981,negatif
982,negatif
983,positif
984,positif
985,negatif
986,positif
987,positif
988,positif
989,negatif
990,negatif
991,negatif
992,positif
993,negatif
994,positif
995,negatif
996,positif
997,negatif
998,positif
999,positif
1000,positif
1001,negatif
1002,negatif
1003,negatif
1004,positif
1005,positif
1006,negatif
1007,positif
1008,negatif
1009,negatif
1010,negatif
1011,negatif
1012,positif
1013,positif
1014,positif
1015,negatif
1016,positif
1017,negatif
1018,positif
1019,positif
1020,negatif
1021,positif
1022,negatif
1023,positif
1024,negatif
1025,positif
1026,positif
1027,negatif
1028,positif
1029,positif
1030,positif
1031,positif
1032,positif
1033,positif
1034,negatif
1035,negatif
1036,positif
1037,negatif
1038,positif
1039,positif
1040,positif
1041,negatif
1042,negatif
1043,negatif
1044,negatif
1045,negatif
1046,positif
1047,positif
1048,positif
1049,negatif
1050,positif
1051,positif
1052,negatif
1053,negatif
1054,positif
1055,positif
1056,negatif
1057,positif
1058,negatif
1059,positif
1060,negatif
1061,negatif
1062,negatif
1063,positif
1064,positif
1065,negatif
1066,negatif
1067,negatif
1068,negatif
1069,positif
1070,positif
1071,positif
1072,negatif
1073,negatif
1074,negatif
1075,positif
1076,positif
1077,negatif
1078,positif
1079,negatif
1080,positif
1081,positif
1082,positif
1083,negatif
1084,negatif
1085,negatif
1086,negatif
1087,negatif
1088,positif
1089,negatif
1090,negatif
1091,negatif
1092,positif
1093,positif
1094,negatif
1095,negatif
1096,negatif
1097,negatif
1098,positif
1099,negatif
1100,negatif
1101,negatif
1102,negatif
1103,positif
1104,negatif
1105,negatif
1106,negatif
1107,negatif
1108,negatif
1109,positif
1110,positif
1111,negatif
1112,positif
1113,negatif
1114,negatif
1115,negatif
1116,positif
1117,negatif
1118,positif
1119,negatif
1120,positif
1121,negatif
1122,positif
1123,negatif
1124,positif
1125,positif
1126,negatif
1127,negatif
1128,positif
1129,negatif
1130,positif
1131,positif
1132,negatif
1133,negatif
1134,positif
1135,positif
1136,negatif
1137,positif
1138,positif
1139,positif
1140,positif
1141,positif
1142,negatif
1143,negatif
1144,positif
1145,positif
1146,negatif
1147,negatif
1148,negatif
1149,positif
1150,positif
1151,negatif
1152,negatif
1153,positif
1154,negatif
1155,positif
1156,negatif
1157,positif
1158,positif
1159,positif
1160,negatif
1161,positif
1162,positif
1163,negatif
1164,negatif
1165,positif
1166,positif
1167,positif
1168,negatif
1169,negatif
1170,positif
1171,positif
1172,positif
1173,positif
1174,negatif
1175,positif
1176,positif
1177,negatif
1178,positif
1179,negatif
1180,negatif
1181,negatif
1182,positif
1183,negatif
1184,negatif
1185,negatif
1186,negatif
1187,positif
1188,positif
1189,negatif
1190,negatif
1191,negatif
1192,negatif
1193,positif
1194,positif
1195,negatif
1196,negatif
1197,positif
1198,negatif
1199,negatif
1200,positif
1201,negatif
1202,negatif
1203,negatif
1204,negatif
1205,positif
1206,positif
1207,positif
1208,positif
1209,negatif
1210,positif
1211,positif
1212,positif
1213,negatif
1214,negatif
1215,positif
1216,positif
1217,positif
1218,negatif
1219,positif
1220,positif
1221,positif
1222,positif
1223,positif
1224,positif
1225,negatif
1226,positif
1227,negatif
1228,negatif
1229,positif
1230,negatif
1231,positif
1232,positif
1233,negatif
1234,positif
1235,negatif
1236,positif
1237,positif
1238,negatif
1239,positif
1240,negatif
1241,negatif
1242,negatif
1243,positif
1244,negatif
1245,negatif
1246,positif
1247,negatif
1248,negatif
1249,positif
1250,positif
1251,negatif
1252,positif
1253,positif
1254,negatif
1255,positif
1256,negatif
1257,negatif
1258,negatif
1259,negatif
1260,negatif
1261,negatif
1262,positif
1263,positif
1264,negatif
1265,positif
1266,negatif
1267,positif
1268,positif
1269,negatif
1270,negatif
1271,negatif
1272,positif
1273,negatif
1274,negatif
1275,positif
1276,positif
1277,negatif
1278,negatif
1279,negatif
1280,negatif
1281,negatif
1282,negatif
1283,negatif
1284,positif
1285,positif
1286,positif
1287,positif
1288,positif
1289,negatif
1290,negatif
1291,positif
1292,negatif
1293,positif
1294,negatif
1295,negatif
1296,positif
1297,negatif
1298,negatif
1299,negatif
1300,positif
1301,negatif
1302,negatif
1303,negatif
1304,positif
1305,negatif
1306,positif
1307,positif
1308,negatif
1309,positif
1310,positif
1311,positif
1312,negatif
1313,negatif
1314,negatif
1315,positif
1316,positif
1317,positif
1318,positif
1319,negatif
1320,positif
1321,positif
1322,negatif
1323,negatif
1324,negatif
1325,positif
1326,positif
1327,positif
1328,negatif
1329,negatif
1330,negatif
1331,negatif
1332,negatif
1333,positif
1334,positif
1335,negatif
1336,negatif
1337,negatif
1338,negatif
1339,negatif
1340,positif
1341,positif
1342,negatif
1343,negatif
1344,negatif
1345,negatif
1346,negatif
1347,negatif
1348,negatif
1349,positif
1350,negatif
1351,negatif
1352,positif
1353,negatif
1354,positif
1355,negatif
1356,positif
1357,positif
1358,negatif
1359,positif
1360,negatif
1361,negatif
1362,positif
1363,negatif
1364,negatif
1365,positif
1366,positif
1367,negatif
1368,negatif
1369,negatif
1370,negatif
1371,positif
1372,negatif
1373,negatif
1374,positif
1375,negatif
1376,positif
1377,negatif
1378,positif
1379,negatif
1380,negatif
1381,negatif
1382,positif
1383,negatif
1384,positif
1385,negatif
1386,positif
1387,positif
1388,positif
1389,negatif
1390,negatif
1391,negatif
1392,positif
1393,positif
1394,negatif
1395,positif
1396,negatif
1397,negatif
1398,negatif
1399,negatif
1400,negatif
1401,positif
1402,negatif
1403,negatif
1404,negatif
1405,negatif
1406,positif
1407,negatif
1408,positif
1409,positif
1410,positif
1411,positif
1412,positif
1413,positif
1414,positif
1415,negatif
1416,negatif
1417,positif
1418,negatif
1419,negatif
1420,negatif
1421,positif
1422,negatif
1423,positif
1424,negatif
1425,negatif
1426,negatif
1427,negatif
1428,positif
1429,positif
1430,negatif
1431,negatif
1432,negatif
1433,positif
1434,positif
1435,positif
1436,positif
1437,negatif
1438,positif
1439,positif
1440,negatif
1441,negatif
1442,negatif
1443,positif
1444,positif
1445,negatif
1446,negatif
1447,positif
1448,negatif
1449,positif
1450,negatif
1451,positif
1452,negatif
1453,positif
1454,negatif
1455,positif
1456,negatif
1457,positif
1458,negatif
1459,negatif
1460,positif
1461,negatif
1462,positif
1463,positif
1464,negatif
1465,negatif
1466,negatif
1467,negatif
1468,negatif
1469,negatif
1470,positif
1471,positif
1472,negatif
1473,positif
1474,negatif
1475,positif
1476,negatif
1477,negatif
1478,positif
1479,negatif
1480,negatif
1481,negatif
1482,positif
1483,positif
1484,positif
1485,positif
1486,positif
1487,positif
1488,negatif
1489,negatif
1490,positif
1491,positif
1492,negatif
1493,positif
1494,negatif
1495,negatif
1496,negatif
1497,positif
1498,positif
1499,positif
1500,positif
1501,negatif
1502,positif
1503,positif
1504,positif
1505,negatif
1506,positif
1507,negatif
1508,positif
1509,negatif
1510,positif
1511,positif
1512,negatif
1513,negatif
1514,negatif
1515,negatif
1516,positif
1517,negatif
1518,negatif
1519,positif
1520,positif
1521,negatif
1522,negatif
1523,positif
1524,positif
1525,negatif
1526,positif
1527,positif
1528,negatif
1529,positif
1530,positif
1531,negatif
1532,negatif
1533,negatif
1534,negatif
1535,negatif
1536,negatif
1537,negatif
1538,negatif
1539,positif
1540,positif
1541,negatif
1542,negatif
1543,positif
1544,negatif
1545,positif
1546,positif
1547,negatif
1548,negatif
1549,positif
1550,negatif
1551,positif
1552,negatif
1553,negatif
1554,negatif
1555,negatif
1556,positif
1557,negatif
1558,negatif
1559,positif
1560,positif
1561,negatif
1562,negatif
1563,positif
1564,negatif
1565,positif
1566,negatif
1567,positif
1568,positif
1569,positif
1570,negatif
1571,negatif
1572,negatif
1573,positif
1574,negatif
1575,negatif
1576,negatif
1577,positif
1578,positif
1579,negatif
1580,negatif
1581,positif
1582,negatif
1583,negatif
1584,positif
1585,negatif
1586,negatif
1587,negatif
1588,negatif
1589,negatif
1590,negatif
1591,positif
1592,negatif
1593,negatif
1594,negatif
1595,positif
1596,negatif
1597,positif
1598,positif
1599,negatif
1600,negatif
1601,positif
1602,negatif
1603,negatif
1604,positif
1605,negatif
1606,negatif
1607,negatif
1608,positif
1609,positif
1610,positif
1611,positif
1612,negatif
1613,negatif
1614,positif
1615,negatif
1616,negatif
1617,negatif
1618,positif
1619,positif
1620,positif
1621,negatif
1622,negatif
1623,negatif
1624,positif
1625,negatif
1626,negatif
1627,negatif
1628,positif
1629,positif
1630,negatif
1631,negatif
1632,negatif
1633,positif
1634,positif
1635,positif
1636,positif
1637,positif
1638,negatif
1639,positif
1640,positif
1641,negatif
1642,positif
1643,negatif
1644,positif
1645,negatif
1646,positif
1647,negatif
1648,positif
1649,negatif
1650,negatif
1651,negatif
1652,positif
1653,positif
1654,positif
1655,positif
1656,negatif
1657,positif
1658,positif
1659,negatif
1660,positif
1661,positif
1662,positif
1663,positif
1664,positif
1665,positif
1666,positif
1667,negatif
1668,positif
1669,negatif
1670,negatif
1671,positif
1672,positif
1673,negatif
1674,negatif
1675,negatif
1676,positif
1677,negatif
1678,positif
1679,positif
1680,negatif
1681,negatif
1682,negatif
1683,negatif
1684,positif
1685,negatif
1686,negatif
1687,negatif
1688,positif
1689,negatif
1690,positif
1691,positif
1692,positif
1693,positif
1694,negatif
1695,negatif
1696,negatif
1697,positif
1698,negatif
1699,positif
1700,negatif
1701,positif
1702,negatif
1703,positif
1704,positif
1705,negatif
1706,positif
1707,positif
1708,positif
1709,negatif
1710,positif
1711,positif
1712,positif
1713,negatif
1714,negatif
1715,positif
1716,negatif
1717,negatif
1718,positif
1719,positif
1720,positif
1721,negatif
1722,negatif
1723,negatif
1724,positif
1725,positif
1726,negatif
1727,positif
1728,negatif
1729,negatif
1730,negatif
1731,positif
1732,negatif
1733,positif
1734,positif
1735,negatif
1736,negatif
1737,positif
1738,positif
1739,negatif
1740,negatif
1741,negatif
1742,positif
1743,negatif
1744,negatif
1745,positif
1746,positif
1747,positif
1748,positif
1749,positif
1750,negatif
1751,positif
1752,negatif
1753,positif
1754,negatif
1755,positif
1756,positif
1757,positif
1758,positif
1759,negatif
1760,negatif
1761,positif
1762,negatif
1763,negatif
1764,positif
1765,positif
1766,positif
1767,positif
1768,negatif
1769,positif
1770,positif
1771,negatif
1772,positif
1773,positif
1774,positif
1775,negatif
1776,positif
1777,positif
1778,negatif
1779,positif
1780,positif
1781,negatif
1782,negatif
1783,positif
1784,negatif
1785,negatif
1786,positif
1787,negatif
1788,negatif
1789,positif
1790,negatif
1791,positif
1792,positif
1793,negatif
1794,positif
1795,positif
1796,negatif
1797,positif
1798,negatif
1799,positif
1800,positif
1801,positif
1802,negatif
1803,negatif
1804,positif
1805,negatif
1806,positif
1807,positif
1808,positif
1809,positif
1810,negatif
1811,negatif
1812,positif
1813,positif
1814,negatif
1815,negatif
1816,positif
1817,positif
1818,positif
1819,negatif
1820,negatif
1821,negatif
1822,negatif
1823,positif
1824,positif
1825,negatif
1826,negatif
1827,negatif
1828,negatif
1829,positif
1830,positif
1831,positif
1832,negatif
1833,positif
1834,negatif
1835,positif
1836,negatif
1837,positif
1838,positif
1839,positif
1840,positif
1841,positif
1842,positif
1843,positif
1844,positif
1845,negatif
1846,negatif
1847,negatif
1848,positif
1849,positif
1850,positif
1851,positif
1852,positif
1853,positif
1854,positif
1855,positif
1856,positif
1857,positif
1858,negatif
1859,positif
1860,positif
1861,positif
1862,positif
1863,negatif
1864,negatif
1865,negatif
1866,negatif
1867,positif
1868,negatif
1869,negatif
1870,negatif
1871,negatif
1872,positif
1873,positif
1874,positif
1875,positif
1876,positif
1877,negatif
1878,positif
1879,negatif
1880,positif
1881,positif
1882,positif
1883,negatif
1884,negatif
1885,positif
1886,negatif
1887,negatif
1888,positif
1889,positif
1890,negatif
1891,positif
1892,negatif
1893,negatif
1894,positif
1895,positif
1896,positif
1897,negatif
1898,positif
1899,positif
1900,positif
1901,positif
1902,positif
1903,negatif
1904,negatif
1905,negatif
1906,negatif
1907,positif
1908,positif
1909,positif
1910,negatif
1911,negatif
1912,positif
1913,negatif
1914,positif
1915,positif
1916,negatif
1917,negatif
1918,negatif
1919,negatif
1920,positif
1921,positif
1922,positif
1923,positif
1924,negatif
1925,negatif
1926,positif
1927,negatif
1928,negatif
1929,negatif
1930,positif
1931,positif
1932,negatif
1933,positif
1934,negatif
1935,negatif
1936,positif
1937,negatif
1938,positif
1939,negatif
1940,negatif
1941,negatif
1942,negatif
1943,positif
1944,negatif
1945,negatif
1946,negatif
1947,positif
1948,negatif
1949,positif
1950,positif
1951,positif
1952,negatif
1953,positif
1954,positif
1955,negatif
1956,negatif
1957,negatif
1958,negatif
1959,positif
1960,negatif
1961,negatif
1962,negatif
1963,positif
1964,negatif
1965,negatif
1966,positif
1967,positif
1968,positif
1969,positif
1970,positif
1971,positif
1972,positif
1973,negatif
1974,negatif
1975,negatif
1976,negatif
1977,positif
1978,negatif
1979,positif
1980,positif
1981,negatif
1982,positif
1983,negatif
1984,positif
1985,negatif
1986,negatif
1987,positif
1988,positif
1989,positif
1990,positif
1991,negatif
1992,positif
1993,negatif
1994,negatif
1995,positif
1996,positif
1997,positif
1998,positif
1999,positif
2000,negatif
2001,negatif
2002,positif
2003,negatif
2004,positif
2005,negatif
2006,positif
2007,positif
2008,negatif
2009,positif
2010,positif
2011,positif
2012,positif
2013,negatif
2014,negatif
2015,positif
2016,positif
2017,positif
2018,positif
2019,negatif
2020,negatif
2021,positif
2022,negatif
2023,positif
2024,negatif
2025,negatif
2026,negatif
2027,negatif
2028,negatif
2029,positif
2030,positif
2031,positif
2032,negatif
2033,negatif
2034,negatif
2035,negatif
2036,positif
2037,negatif
2038,positif
2039,negatif
2040,positif
2041,negatif
2042,negatif
2043,negatif
2044,negatif
2045,negatif
2046,positif
2047,positif
2048,positif
2049,positif
2050,negatif
2051,positif
2052,positif
2053,positif
2054,negatif
2055,positif
2056,negatif
2057,positif
2058,positif
2059,negatif
2060,negatif
